n;natural;karatsuba
0;0,040545421000000026;0,007732366000000046
1;0,04603409700000005;0,009319465999999998
2;0,043119456;0,00730763500000009
3;0,043477503000000084;0,013829413999999929
4;0,04966278000000002;0,007515895999999911
5;0,0402509820000001;0,012431083999999926
6;0,039126572000000026;0,007330204999999923
7;0,038854702999999935;0,009926810999999924
8;0,04095066000000003;0,007285064000000174
9;0,04171907399999997;0,01218383700000003
10;0,04093527000000008;0,007465625999999892
11;0,039676465000000105;0,012433134999999984
12;0,03964876499999992;0,01213459299999986
13;0,03896447600000008;0,009603645999999966
14;0,03971339900000004;0,007294297999999921
15;0,039951411999999964;0,01236132099999998
16;0,04213354600000008;0,007467678000000033
17;0,03887009200000002;0,012376709999999846
18;0,038710048;0,013443668000000075
19;0,04419975099999984;0,015167214999999956
20;0,03874903299999999;0,009046570000000198
21;0,04573760699999996;0,014190538000000252
22;0,04238900000000001;0,007508715000000166
23;0,039270200999999894;0,014093075999999982
24;0,04664657200000022;0,02668933299999976
25;0,04271832100000017;0,016040273999999854
26;0,041048121999999854;0,007425615999999913
27;0,042840406000000275;0,012147929999999807
28;0,03983548300000006;0,007575399999999899
29;0,04198170899999987;0,013177954999999741
30;0,045838146999999996;0,012151006999999936
31;0,04023764399999985;0,015160032999999906
32;0,042131493999999936;0,01231207699999981
33;0,0407967720000002;0,014595777000000254
34;0,04102452599999973;0,007315842000000128
35;0,040913726999999955;0,014439836999999844
36;0,04098656599999995;0,012160240999999683
37;0,042280252999999934;0,017767924999999796
38;0,04058030199999996;0,012457758000000041
39;0,04073521599999985;0,021598713999999575
40;0,04787254700000032;0,008497702999999746
41;0,04568323200000002;0,014619372999999936
42;0,047979243999999976;0,014426499000000259
43;0,053270943999999876;0,03269199599999961
44;0,041417453000000215;0,012608567999999654
45;0,040002708999999914;0,020463019000000138
46;0,039585157999999954;0,007818544000000038
47;0,04371346499999973;0,016223913999999784
48;0,044236683999999915;0,013372878999999838
49;0,04611514499999991;0,019267820999999685
50;0,04444904999999988;0,012915317999999676
51;0,04151183799999991;0,019495575999999737
52;0,04048591700000026;0,012457758000000041
53;0,04070546400000019;0,014482925000000257
54;0,040903466999999694;0,012262833000000306
55;0,042203309000000466;0,016841517999999667
56;0,040681868000000065;0,012596256999999333
57;0,04562475499999952;0,02131863700000025
58;0,050117262999999745;0,012251546999999974
59;0,04365293499999989;0,03765232399999974
60;0,04446649000000047;0,012118177999999702
61;0,04039666200000003;0,01776074300000019
62;0,039284563000000716;0,013229250000000192
63;0,04556525200000028;0,020693850999999874
64;0,04261778099999969;0,01254906499999997
65;0,04126664300000016;0,017116463999999887
66;0,04200838300000065;0,016634280999999973
67;0,04204736899999961;0,020184994000000067
68;0,04097733299999984;0,01690717699999933
69;0,04160519699999998;0,021903411999999456
70;0,03901064300000012;0,01752170399999997
71;0,0399678269999999;0,019481211999999637
72;0,04140514300000042;0,02208192199999992
73;0,04017301199999945;0,019473005000000043
74;0,04539802700000006;0,04788178100000007
75;0,0387398000000001;0,021989588999999476
76;0,07439773299999963;0,01736166000000061
77;0,04100503400000033;0,019689473999999763
78;0,03966415399999956;0,022482031000000013
79;0,04130357699999987;0,019780780999999692
80;0,041893480000000594;0,017629424999999976
81;0,04066032400000008;0,021855194000000466
82;0,0422894859999996;0,017922838000000496
83;0,04101631900000058;0,02052662599999966
84;0,040857299999999874;0,021915722999999332
85;0,041112755000000334;0,02004341699999923
86;0,039436399999999594;0,017233418999999195
87;0,04083370400000064;0,022447149000000444
88;0,04074957899999987;0,017265222999999885
89;0,04129741999999936;0,02224812099999962
90;0,0472662279999998;0,02732950700000014
91;0,04024072200000006;0,01927807999999942
92;0,04556217399999962;0,019874139999999763
93;0,051082654000000005;0,024080416000000326
94;0,042393105000000375;0,017150318999999747
95;0,04101118899999978;0,02238046499999946
96;0,03943742599999922;0,02190238599999983
97;0,041579549000000604;0,022702604000000015
98;0,04143284199999986;0,018025431000000758
99;0,04205660199999972;0,02464467199999998
100;0,04055157600000037;0,018233691999999913
101;0,040367937000000076;0,019779755000000065
102;0,04103991400000062;0,021964966999999724
103;0,03993807500000024;0,020196279000000317
104;0,058194337999999846;0,0172118750000001
105;0,042333601000000165;0,021735160999999614
106;0,07923187300000034;0,02119552600000052
107;0,04044385399999939;0,01986080300000026
108;0,04748372300000003;0,025199695999999605
109;0,04603409699999972;0,019727432999999905
110;0,040730087000000026;0,01744681099999923
111;0,041415401000000074;0,021901359999999315
112;0,04075265699999964;0,017190331000000114
113;0,040978358999999465;0,019238069000000024
114;0,04183705499999846;0,02243483799999879
115;0,04266702500000008;0,020233212000000833
116;0,04058543200000031;0,01751862500000101
117;0,03991550499999974;0,021836727000000167
118;0,04135076899999923;0,0171174900000004
119;0,04448598299999951;0,01950070500000045
120;0,042223827000000824;0,021684889999999513
121;0,040775227000001024;0,019888503000000668
122;0,040297148000000504;0,01943299399999887
123;0,050130600000001024;0,022375334999999552
124;0,03997911199999926;0,019074947999998315
125;0,04893847900000026;0,02373981000000036
126;0,043142025999999944;0,027551106000000658
127;0,04154364100000052;0,02327917100000043
128;0,04202685000000095;0,021664372000000043
129;0,04068186900000015;0,024674424000000528
130;0,041700607999999306;0,02264515299999914
131;0,042279226999999864;0,02243996900000056
132;0,04239618199999917;0,027415683999999274
133;0,04098348800000018;0,023146827999999786
134;0,04253981100000104;0,0169636019999988
135;0,05338892500000014;0,02226043299999958
136;0,03924557800000095;0,017727913999999956
137;0,04147285300000014;0,019515067000000386
138;0,05632408499999997;0,02603889899999956
139;0,05069588200000119;0,02424045900000138
140;0,058782191000000594;0,029758887999999928
141;0,042736786999999055;0,024095803999999887
142;0,044097158999999664;0,017554533000000205
143;0,04099990400000131;0,01993159099999886
144;0,04168419199999995;0,021886996999999297
145;0,04210892400000077;0,02275389999999966
146;0,04129126499999991;0,01717288999999944
147;0,04368371300000007;0,02216296999999834
148;0,03977495400000031;0,017540169999998412
149;0,040491046999999725;0,02026604200000115
150;0,04076496699999943;0,02182954599999931
151;0,0423387299999991;0,022169124999999568
152;0,041440022999999826;0,017163656999999333
153;0,04216227199999878;0,025197644000000352
154;0,04842757100000128;0,021033429999999242
155;0,040101197000000255;0,024270210999999264
156;0,04959917300000072;0,025846024999999884
157;0,04051053899999957;0,024162489000000065
158;0,040293045000000305;0,0172477820000001
159;0,04130870600000058;0,024076312000000044
160;0,04051874700000013;0,016978990999998445
161;0,04196221800000011;0,022844180999999963
162;0,05612710800000009;0,021808001000000132
163;0,041764213999998745;0,0249298790000001
164;0,04019660800000047;0,017966953000000174
165;0,04090038999999912;0,02483344200000026
166;0,04047771000000111;0,017383204000001484
167;0,04012992300000029;0,019995198999998465
168;0,04086243000000067;0,021918800999999988
169;0,04098861800000009;0,022613348000000144
170;0,045299538000000084;0,020238341999998966
171;0,039670309999999986;0,023121180000000408
172;0,04971715399999965;0,0205697150000006
173;0,04081318599999939;0,02008445399999914
174;0,0404715539999998;0,021780301999999807
175;0,04171086700000082;0,022007029000000955
176;0,04085114500000131;0,01709902399999841
177;0,04089218200000033;0,022035755999999296
178;0,042162272000000556;0,01761198400000019
179;0,040943478000000866;0,01941452800000043
180;0,043012760999999955;0,022898555000001153
181;0,04045308799999958;0,02266464500000076
182;0,04080908299999919;0,01721905700000015
183;0,040889103999999676;0,022309675999999
184;0,0394415299999995;0,01741705899999957
185;0,039951412999998936;0,0200290540000001
186;0,04793615500000037;0,031076170000000403
187;0,04523182700000028;0,024995537999998874
188;0,04765300100000047;0,025651100999999343
189;0,04492405100000063;0,02477701599999982
190;0,04031561400000072;0,022183487999999585
191;0,05808661700000073;0,03291564699999938
192;0,0421407269999996;0,027421840000000586
193;0,039900116000000097;0,02431227399999969
194;0,04242388199999958;0,023225824000000728
195;0,04160314500000162;0,02624305700000029
196;0,042087378999999814;0,022529223000001153
197;0,041183544000000794;0,021880841999999845
198;0,041772422000001086;0,028431345999999635
199;0,04354316100000055;0,02486627099999872
200;0,03998424199999917;0,017436551999999494
201;0,04546060799999907;0,02398192799999954
202;0,04595817899999943;0,016966680000001233
203;0,043787330999998986;0,02258051899999991
204;0,04970073900000038;0,022217343000001222
205;0,04193656899999887;0,023013458000001208
206;0,04139385800000106;0,0170046389999996
207;0,07482656800000065;0,027262823000000935
